X,Y,Color
65.26567208215478,-1.6266486303223446,yellow
67.75160735492815,1.046350369401904,yellow
70.08541261737386,3.832390799893367,yellow
72.21674734307223,6.718789872845092,yellow
74.09527100560359,9.692864799950115,yellow
75.96426648145447,13.226961086539715,yellow
78.00916122791843,16.534681961601304,yellow
81.01984422660868,19.19518037861556,yellow
84.4691895499162,20.914089731402743,yellow
87.82912998007167,22.609013982835275,yellow
90.40086007445461,25.23862061780514,yellow
91.1613205377265,28.74709209109039,yellow
90.7240272126482,32.22798510643706,yellow
89.61034143580852,35.93662890744766,yellow
88.39040908643659,39.057988449202696,yellow
86.84297202066172,42.67039656857053,yellow
85.33667788430436,46.03287341621162,yellow
83.78756483355477,49.14911450759289,yellow
81.7893820151932,52.491091124173785,yellow
79.43059325569715,55.53676715626412,yellow
76.9983636144141,57.92737416317868,yellow
74.0898697986247,60.121257122776164,yellow
70.76295696554632,62.01891432288436,yellow
67.18484661200353,63.443991152544825,yellow
64.13364649008007,64.14205795335786,yellow
60.535811141136854,64.23814347339845,yellow
57.12895863133892,63.44079574178242,yellow
53.89235808961713,61.98431693969478,yellow
50.768082557355356,60.18355526001847,yellow
47.698205075937366,58.35335889563645,yellow
44.10892304327202,56.583093124945606,yellow
40.436123543603195,55.3928796745155,yellow
36.60947070321719,54.779602521939054,yellow
32.55887072027294,54.734520593336065,yellow
28.855869164342277,55.14101077371683,yellow
24.96455353971769,55.844467236822815,yellow
21.07322066700514,56.48823319475417,yellow
17.39225002660963,56.68229074582776,yellow
13.644327071268096,55.819984954763044,yellow
10.783019674623407,53.23449222131969,yellow
8.916820737970424,49.90096859109024,yellow
7.13087089126959,46.45099731103024,yellow
4.545482689516691,43.47414247605105,yellow
1.1551020508228274,42.03488582261062,yellow
-2.5217388228073996,40.769921192012944,yellow
-5.499656141876257,39.03416740591737,yellow
-8.069977334287518,36.67689342771544,yellow
-10.11485787439279,33.7869993568247,yellow
-11.78507243568031,30.54648561211514,yellow
-13.273609915575832,27.151983576091222,yellow
-14.773459211505205,23.800124631257155,yellow
-16.461540422273917,20.660239843815088,yellow
-18.421023032275926,17.742381326546674,yellow
-20.701171915575216,14.998998467351019,yellow
-23.35120547767921,12.382461705705806,yellow
-26.36263698106657,10.008065318546112,yellow
-29.95202406912835,8.740731761077871,yellow
-33.20364953702153,10.271767327052855,yellow
